"OPTY_ID_15","OPTY_NM","OPTY_TYP","OPTY_SRC_NM","OPTY_AGE","OPTY_BAND","LEAD_SRC_NM","WON_FLG","LEAD_SL_PRTNR_ROLE","PRTNR_REGN_NEW","PRTNR_TYP_DESC","PRIM_PROD_INT","INIT_PROD_INT","INDUSTRY_NM","EMP_BAND","ACCT_OWN_REGN_NM","ACCT_TYP","SEG_CD"
NL6,ARB2GXT2RDM53SDP7VIY,"New Business","AE",,"(01) <=$25K",,"N",,,,"Work.com",,"Retail & CG","46-200","AMER","Professional Customer","Very Small"
URN8S,DCL8P,"Add-On Business","AE",,"(05) $150K - $250K","Salesforce AE","N",,,,"Work.com",,"Retail & CG","10001+ ","EMEA","Unlimited Customer","Top"
785K,8Y00WTF1H3S6REOR80ATRMLIJ9PO5STVOU53P9EYVE0KCODK26DGGO2HOXJ5OXXEGB,,"Alliances",1,"(11) >$10M+","Partner Referral","N","Sourced Lead","AMER","Consulting Partner;ISV Partner;ISVforce",,"Work.com","High Tech","46-200","AMER","Enterprise Customer","Large"
I9QQ,6FX9O49UXEBCSYGMG84QXMDA4XY4GDXJUGGHEDZS8XA767LOC8CIUGIW0TSA0XFGR2A79SN48KEY4FJ78,"New Business","Alliances",525,"(02) $25K - $50K","Partner Referral","N","Sourced Lead","APAC","Consulting Partner;Content Syndication",,"Work.com","Healthcare & Life Sciences","201-500","APAC",,"N/A"
5KA7PATO87A4,ECUV60AH2KEWTH6BPC7XZ0KLYEJ8CUIR71FOW117CTD5FFEUBGNLUTN7JPUQZ8QY1CL3PYH8I6TVF3GB3374KRH2,"Add-On Business","AE",267,"(11) >$10M+","RM","N",,,,"Work.com","Work.com","Other","10001+ ","EMEA",,"N/A"
UMZM5M,HEUA22WMRKR1SBUP1ZF8VP36DC26D5B4VQZTHU1890HHOJ3BYK1U0BNWAL0UV2B1248KUBO2HFGJ8V2CC2ILDS,"New Business","AE",,"(02) $25K - $50K","LinkedIn","N",,,,"Work.com",,"Financial Services","46-200","EMEA",,"N/A"
KLF9V3,0K8VKXR6PFMYCCPW5OFMSLRF7UYVG2N17VZ9EPFO8YSCT2MGWDSDFT4XDB4WL,"New Business","BDR",,"(05) $150K - $250K","EBR Generated","N",,,,"Work.com",,"Retail & CG","10001+ ","AMER","Unlimited Customer","Top"
NPQZLCD1NGHR,D62P42LQ9HP7CHB0S6X5T6ZU838,"Add-On Business","AE",181,"(01) <=$25K","CFL","N",,,,"Work.com","Work.com","Financial Services","10001+ ","AMER","Unlimited Customer","Very Small"
A6YOEA8O6AI,N0LIV9Y0XRLYTM9DK1T2K8JZ8SSINX08O38M2SR58CG7OP3USLDQW6PGG61W9F2ZOXR65SR4XBQ7HHZO38CXJN0W3UWMVSTLLZ0J7,"Add-On Business","AE",22,"(01) <=$25K","Salesforce AE","N",,,,"Work.com","Work.com","Financial Services","501-1000","AMER","Enterprise Customer","Medium"
5OLJPFMU6M,7PE,"Add-On Business","AE",84,"(11) >$10M+","CSM","N",,,,"Work.com",,"Agriculture & Mining","10001+ ","AMER","Unlimited Customer","Flagship"
RSQ,56TCVBZZA78KRZYW76ZL151AX5ULLTEJYSIV7CR2FEZAV0KNL6S81VX0OE68DABI,"Add-On Business","Cloud Sales",,"(05) $150K - $250K","Salesforce AE","N","No Partner","AMER","ISV Partner","Work.com",,"High Tech","10001+ ","AMER","Unlimited Customer","Large"
U7R51T8CSYOHOK,MRSNABTL4WW779BF4AC6YB48OAF4WYR3NFCFHHECB8HHMXEUV5VANE9IGHYK6AXK7IXGTGAA6G0ZKVZC,"Add-On Business","ECS",,"(03) $50K - $100K",,"N",,,,"Work.com",,"Travel, Transportation, & Hospitality","201-500","AMER","Unlimited Customer","Large"
9Q5RPNJ7QB2A,W8TGM25BQAXEIQ6RW8L3FQBB5QQTG0TAJYBH2RKDRYBCCFDI8J0EIJQB4SKCQQUX2XUZEWTKQ8RAF4BQ6SP391JL2MC4Q1EEPIXTPI,"Add-On Business","EBR (Mktg Infl)",40,"(02) $25K - $50K","CFL","N",,,,"Work.com","Work.com","Financial Services","1-20","EMEA","Unlimited Customer","Flagship"
UCIN,3392YXJZ0780V6QQE2U1382FGNZ4BP1J,"New Business","SDR",,"(01) <=$25K","Website","N",,,,"Work.com","Sales","Engineering, Construction, & Real Estate","1-20","EMEA",,
8,46TCEM8GJIW8T2V1V,"New Business","AE",,"(02) $25K - $50K","AE Generated - Create Account","N",,,,"Work.com",,"Financial Services","201-500","LACA",,"Large"
OGPS,KY1J13O8YQJIW4Y18VH86CHQ7AGBB83FBPZ9U238LRE3HZWGKB5L5W79WQ91SRK4WBCHZK0IQMM,"New Business","SDR",304,"(01) <=$25K","Other","N",,,,"Work.com",,"Other","1-20","AMER",,
MAEL3IQ,49LGFLU6YIFKS61P3S1VN9LGSFWC85UR6V2322VW0CEGEWQO273STJFAMZGH70JXFR726QXQY8TBIU2PSBFE8P4JJDQ7S26V0URKKYW5LO4,"New Business","AE",189,"(01) <=$25K","SFDC Employee Referral","N",,,,"Work.com",,"Professional Services","501-1000",,,"N/A"
X6Y51IKWXL3XS,JSR02JEJUA70D46EELFN5NSTLJHDPCMGE8IVXKUPID4P8TDKK1F2VWOJX,"Add-On Business","AE",237,"(01) <=$25K","Sales Generated","N",,,,"Work.com","Work.com","Travel, Transportation, & Hospitality","2501-5000","AMER","Enterprise Customer","Medium"
B,EO,"Add-On Business","AE",259,"(01) <=$25K","Salesforce AE","N",,,,"Work.com","Work.com","High Tech","501-1000","AMER","Unlimited Customer","Top"
VX,OKS0J8SYGKZZ,"Add-On Business","BDR",,"(05) $150K - $250K",,"N",,,,"Work.com",,"Healthcare & Life Sciences","5001-10000","AMER","Unlimited Customer","Top"
FVIVD4C,OAUWRFOINHCV6114NPYOVXZ21LM6,"New Business","Alliances",5,"(03) $50K - $100K","Partner Referral","N","Sourced Lead","AMER","Consulting Partner",,"Work.com","Manufacturing","10001+ ","AMER",,"Small"
EP,Z271O66T1MY01ZTUPZRL2297IHZN061PED0RGJZ4HUJESNCZXLDAYTVHW7R75GW3KEIRK7SV56CZ81YR1G0NYRGNZ4ZKBY77C3MKLZPEFZV5WKA8RXPFFG3T,"New Business","AE",,"(11) >$10M+","Partner Referral","N","Sourced Lead","EMEA","Consulting Partner;Content Syndication",,"Work.com","Travel, Transportation, & Hospitality","1501-2500","LACA",,
ZAJN9KSNUQ3N7,JQ3U9XX1N2NPI70SO8JC5B78OE6Q568QYSKKQ7S3,"Add-On Business","AE",,"(08) $1M - $3M",,"N",,,,"Work.com",,"Professional Services","10001+ ","AMER","Unlimited Customer","Platinum"
H4LNAO,BTKGKA05X3GX174W666I8E2FC3IMMNU17INQITXJ,"New Business","AE",,"(04) $100K - $150K","Cold Call","N","Joint Sales","AMER","Consulting Partner;GPA","Work.com",,"Manufacturing","10001+ ","AMER","Enterprise Customer","Medium"
L2R6R648DZ6QP,02QXO38LHPZFYXOIJPOIRHUDUNQX2GYQ98Z2KIZIDL044XCGY18EUM8KLXR9QMD4AYSVSNFPASITY3XYRUII3HU1MPWF9UN5JDX6,"New Business","EBR",42,"(07) $500K - $1M","RM","N",,,,"Work.com",,"Financial Services","10001+ ","APAC",,"Medium"
WMVB19E0G1LJSU,CUJ1Y3,"Add-On Business","AE",926,"(03) $50K - $100K","AE Generated - Create Account","N",,,,"Work.com","Work.com","Manufacturing","2501-5000","AMER","Enterprise Customer","Large"
W,LJOEEUF8T2LNHMY8JOCO8GRKNKFEHU1JW72NBVZ3GXG5PR8DD5Y6Q48B,"New Business","AE",,"(04) $100K - $150K","AE Generated - Create Account","N",,,,"Work.com",,"Communications & Media","1-20","AMER",,"Large"
ZFTW,LW03GQUK0UWO8SISNNI63EF01HU,"New Business","AE",,"(05) $150K - $250K","Customer/Other Referral","N",,,,"Work.com",,"Healthcare & Life Sciences","2501-5000","AMER",,"Very Small"
3821X32J99EVZG,BO72XW7OH8B1KIJ23UJR1VQ2I7SXC3XUMSFD7UINP5HOPWMV6P89EUYFNCGPU9GMJ58E1442KI8I1GU7DDN6GGFSX3N99UK0N9F2DCTSOAUM,"New Business","AE",,"(01) <=$25K","AE Generated - Create Account","N","No Partner","AMER",,"Work.com",,"Retail & CG","201-500","EMEA",,"N/A"
V,QD965K5UG4AC5A71SVDK87GT,"New Business","AE",210,"(02) $25K - $50K","CFL","N",,,,"Work.com",,"High Tech","10001+ ","EMEA","Performance Edition","Top"
S,NUXSZ8T9JEXA51MYYNLMCEDBKLUG47HWDMEU3034C5X0IAKK57OVRAW60ITBVTE7JW6AAH20OYPUJHLMRZFUYAPAEEXHMZDHV8DS8P84239O0KX,"New Business","AE",,"(06) $250K - $500K","Cold Call","N",,,,"Work.com",,"Healthcare & Life Sciences","10001+ ","AMER","Enterprise Customer","Medium"
HK0TOP3C9HI7R,DHT8JRFNPRR2A3O7THG49V619UZJXQ7XAWWMVUWPOVFD87YDC3317AUF9V0HO2MQ6ZR9X6AEQBQJ6MMBCS4WKJRLASAYUJAQTN2KD4NRF,"Add-On Business","EBR",118,"(01) <=$25K","EBR Generated","N",,,,"Work.com",,"High Tech","5001-10000","AMER","Unlimited Customer","Mega"
91LI,DT0B6GS0VQ8AF5VB279X2DR3GOZ71CUOW5WEYQ8XBCBFO5JYQ57BIBDTXTTLDQP6UOASLW460BY6R2LCKKF90NGF7PILM5XGZK3I0KJTRYJZQKBDPP8J,"Add-On Business","AE",18,"(06) $250K - $500K","RM","N",,,,"Work.com",,"High Tech","2501-5000","AMER","Performance Edition","Small"
VJ8HN8EY9REQFK3,K7O6T9AG4NI3XT9FKUCEWVFXLIMNZV28XR3P3IM809KP6OXVMLSQLSRMQ2DASF3J6PYM,"New Business","BDR",,"(02) $25K - $50K",,"N",,,,"Work.com",,"Retail & CG","201-500","EMEA",,"Small"
YAOP0Y,PWMXA8SIZG75R22X6DE636K2KQ2GQWINR794L8JW02C67WVMWOD1JA9OJ4DC7U8SNDZ9IRCIQFPWR0,"New Business","AE",,"(01) <=$25K",,"N",,,,"Work.com",,"Retail & CG","1001-1500","EMEA",,"Top"
79N2FKGPYI1IJ,3AZZ9ZJ7ET35B4NFZJX,"Add-On Business","BDR",,"(07) $500K - $1M",,"N",,,,"Work.com",,"Financial Services","10001+ ","AMER","Unlimited Customer","Large"
2E78OCSHJZ3T1K,61R6XYQWMGFINFDUWR2ZJIL0JQY7LJHNBDZ3JGVB73F0PGR7GF379GQ8OONM2E81SEJY1F5MJLJ39NG2IUYPFXPMK51GYIR84NH5Q6J8V,"New Business","AE",262,"(02) $25K - $50K",,"Y",,,,"Platform (Heroku)","Work.com","Professional Services","46-200","AMER",,"Small"
H9MVAV5OYHAAZJN,653B1DGMSG4S2WVY1X4MJ6YYU7KFLV,"Add-On Business","AE",,"(01) <=$25K","AE Generated - Create Account","N",,,,"Work.com",,"Financial Services","46-200","EMEA","Unlimited Customer","Medium"
ZO16AIKWA,DONHFB46KNIV8QWSECQU12A5IVRH56X1BV3ZS8MQKIE3ZC0LN,"New Business","AE",,"(05) $150K - $250K","CSG - Reboot","N",,,,"Work.com",,"High Tech","10001+ ","AMER","Unlimited Customer","Top"
JHH6SW,D0AV0BI6M4AU9TISTYPMTBH4PMOH1NJLWSDYIF03MHE6ZB7CQEQB,"Add-On Business","AE",,"(05) $150K - $250K","AE Generated - Create Account","N",,,,"Work.com",,"Public Sector","501-1000","AMER",,"Top"
BGEEICS1819B3,XH7A3TYXZAF0,"New Business","AE",,"(01) <=$25K","Salesforce AE","N",,,,"Work.com","Work.com","Healthcare & Life Sciences","1001-1500","EMEA",,"Medium"
16XO,T7SM1G761XXHJO4V68GTGM5E009CPC4EUESZIWAVYA8O8ZLN4QV7A674NMXYKTJSO3C06D52NIH1,"Add-On Business","AE",0,"(11) >$10M+","CFL","N",,,,"Work.com","Work.com","Professional Services","1501-2500","APAC","Unlimited Customer","Top"
NYARGDT,WUJC6A5OVHQCMJSC2A,"New Business","AE",,"(02) $25K - $50K","AE Generated - Create Account","N",,,,"Work.com",,"Manufacturing","501-1000","EMEA","Unlimited Customer","Top"
1KMF387,7J32R5DHW23PL2OJW86LL3HKVWCEH9G3I0ZC8R8JTZKEBA46,"New Business","BDR",,"(05) $150K - $250K",,"N",,,,"Work.com",,"Travel, Transportation, & Hospitality","1001-1500","EMEA","Performance Edition","Top"
MYXJAPJ80AOL01,C1KJOCS,"New Business","SDR",309,"(11) >$10M+","Partner Referral","N","Sourced Lead","LACA","Consulting Partner",,"Work.com","Professional Services","1501-2500","LACA",,"Very Small"
2,GT,"Add-On Business","AE",,"(04) $100K - $150K","CSM","N",,,,"Work.com",,"High Tech","10001+ ","AMER","Unlimited Customer","Mega"
EZ5Y,8671M7ZMWAHZPJV4VHMTI6GE1NTYR2GEXYY41JAY5LEH6PFCEZPT35QPHU2QSJLGWGFVVEUWLWSE3VFU5DU8JPX93KUN,"Add-On Business","BDR",,"(05) $150K - $250K",,"N","No Partner","AMER","Consulting Partner","Work.com",,"Engineering, Construction, & Real Estate","201-500","AMER","Enterprise Customer","Medium"
05T62R1YI5DB13,EL48S8MYNC6RQLAJQUL9G7NT23G38EG2CXORHZ5FE0VIWYQU68IHFMQXBYMM8SZ8PEJT5Q22P24Z8LLZB98A0IKPYNKFH33O,"Add-On Business","AE",98,"(01) <=$25K","RM","N",,,,"Work.com","Work.com","Retail & CG","10001+ ","AMER",,"Top"
QX3OA603QJCXU,5MRECEVNWO57RRONBL7X2YHNGBOLXZ2HD0K0MLL069MCPJFD8TFE4611A,"Add-On Business","Cloud Sales",,"(06) $250K - $500K","Salesforce AE","N",,,,"Work.com",,"Travel, Transportation, & Hospitality","10001+ ","AMER","Unlimited Customer","Large"
X,WMOZ3IUJEMSHTHF,"Add-On Business","ECS",,"(02) $25K - $50K",,"N",,,,"Work.com",,"Engineering, Construction, & Real Estate","201-500","AMER","Performance Edition","Large"
R,1J56CFF4C35XAM2FBPJT70O7RYVNFK4O2HG9A3JOIJTOXOU,"Add-On Business","Cloud Sales",,"(06) $250K - $500K","Salesforce AE","N",,,,"Work.com",,"Travel, Transportation, & Hospitality","10001+ ","AMER","Unlimited Customer","Large"
N9YDON9QSIZHW5,LAS5910NCZ7CDI41JKNL1973ODGXEPBX,"New Business","BDR (Mktg Infl)",1023,"(06) $250K - $500K","EBR Generated","N",,,,"Work.com",,"Healthcare & Life Sciences","10001+ ","AMER","Unlimited Customer","Top"
9J24VWC6W0UVVQU,ZGSIC3YJE4G011V5JMOUK2ES8L12H78S0BCE44A9GKD194B4L0GB7S8F9MBBIGRXKWRY8MW8IQPDTZNUI,"Add-On Business","BDR (Mktg Infl)",1339,"(02) $25K - $50K","Salesforce AE","N",,,,"Work.com",,"Communications & Media","1001-1500","EMEA","Unlimited Customer","Medium"
LCDPX6EBHMOA3XF,N5WMU0VCN0A3IA,"Add-On Business","AE",,"(05) $150K - $250K",,"N",,,,"Work.com",,"Financial Services","2501-5000","AMER","Unlimited Customer","Flagship"
SJE20TXSB2E,5DLDWT8OAPJ9TLQ73PLEKD4N78SP5SP351YOVSD3W6YV7ZMMHQY8I8ZVEPCJI3JFLMMVNDZ2MKVB6WU4D1DG444DMYO,"New Business","AE",,"(07) $500K - $1M","Customer/Other Referral","N","No Partner","AMER","Consulting Partner","Work.com",,"Financial Services","10001+ ","AMER","Unlimited Customer","Top"
0,HQSHMQJIOFW1ZRFHHV8DVOJPLXBSU8ORWUJ4UI54SL05Z2KXKBQHX0WBIT4W5HSLR5QK2VG,"New Business","BDR",584,"(01) <=$25K","EBR Generated","N",,,,"Work.com",,"Manufacturing","5001-10000",,,"N/A"
4G,8HYC8YB3SCLY49XFHZ3ZL2RRFOH4EV6DSHJF6QNZ8PQ0IARDZTNHX4R1FN7ZY4JL7Z1EJRDT0AV7112UQZ21M7QUKR25RJ4Q1F7VGM,"New Business","EBR",20,"(07) $500K - $1M","RM","N",,,,"Work.com",,"Financial Services","10001+ ","APAC",,"Medium"
B21IWO1WJ,FZJ1O1YBLWO87SE4ASM4YWH6DOPKV6GKE055TLS1QSGUP0HB59YMB0O1N4X78GJ,"New Business","AE",395,"(02) $25K - $50K","CFL","N",,,,"Work.com",,"High Tech","10001+ ","EMEA","Performance Edition","Top"
JVOAGE9E33,BFQU8NFPEACOBJ3N6GQS2EEQFHTWS7L68ZMRXJ3XBKN9L1018AXFY88JSBJ11OTGE2P6BACHKCGNI6GHF7X3AP6SAS2ZCPRADJ1D4E1JGZ4IW5GANF8AYYF9,"Add-On Business","SDR",,"(11) >$10M+","Partner Referral","N","Sourced Lead","AMER","Consulting Partner;ISVforce;GPA",,"Work.com","Professional Services","10001+ ","AMER","Unlimited Customer","Mega"
YGFWJ,H3LT77ZTIW0YFRYSASHI0BGMUOKA30GFZQZNUZEYFXRZSR7R4V1ENBKL2KV7JKPS78PNBN3QW8TPCGXGF7CSJ0I23TFPRBBLE7TNFL,"New Business","ECS",,"(06) $250K - $500K",,"N","No Partner","AMER",,"Work.com",,"Public Sector","5001-10000","EMEA","Unlimited Customer","Top"
LSNZKG7TQ,J55UGQMPLLXSJWOD4SF09VC9092FTOBCDTNWL9XNXATRC43CGWUB9JO18I81DYFJQLHOYLON1DX4PJ9OO1P5,"Add-On Business","BDR (Mktg Infl)",1085,"(03) $50K - $100K","Sales Generated","N","Joint Sales","APAC","Consulting Partner;ISV Partner","Work.com",,"Engineering, Construction, & Real Estate","10001+ ","AMER","Enterprise Customer","Large"
BV,ITIBHEUIVWE8NJIMYYEQEAOBY9AHT2GR3N8N43OC2YE7JN7B4H5C2Z2QR7QDIEMMVOHVCOZOKYW7WOAWE8Q29M70D57,"New Business","AE",,"(05) $150K - $250K",,"N","Joint Sales","AMER","Consulting Partner","Work.com",,"Healthcare & Life Sciences","1501-2500","AMER","Enterprise Customer","Very Small"
4GSB7C0N69Y,DE8V38BVXRDW9R72OVIVPZKTV4SKUHWUSLUVBG3AJ95J4HTKOK1TFAD82E1SPBCHN60SW3KKEJS8HCVY7Y7IW46C22YR,"Add-On Business","ECS",,"(04) $100K - $150K","AE Generated - Create Account","N","Joint Sales","AMER","Consulting Partner;GPA","Work.com",,"Manufacturing","10001+ ","AMER","Enterprise Customer","Top"
9JZ4W7Z,ZBLSJSI89RHT0Q8ZDWHK9EITPBXH3,"Add-On Business","AE",,"(01) <=$25K","Salesforce AE","N",,,,"Work.com","Work.com","High Tech","1-20","EMEA","Enterprise Customer","Small"
625L,9VU9F8MTRNJL,"Add-On Business","AE",,"(05) $150K - $250K",,"N",,,,"Work.com",,"Retail & CG","10001+ ","AMER","Enterprise Customer","Top"
7,8BAPPPYSB7HRP2DT6,"New Business","AE",,"(03) $50K - $100K","Salesforce AE","N","Joint Sales","AMER","Consulting Partner","Work.com",,"Healthcare & Life Sciences","501-1000","AMER","Unlimited Customer","Top"
PU9V1R,M6P20X5BP4DP82P616EU90GNPK6KZCU4RH6TXWXJDI7QMMQ7UE7X3R32Z7TR8E54AL81H5CF,"Add-On Business","AE",114,"(01) <=$25K","Salesforce AE","N",,,,"Work.com","Work.com","Communications & Media","201-500",,,"Very Small"
RTGFYV4R02,A3N4GRNADSC8RA4M92OYJBJ9PQSROINSP0C99BESFF5656Z1OD0HXWWAYGS0HL916Q67AMZUTMVA360XP,,"AE",,"(11) >$10M+","Partner Referral","N","Sourced Lead","EMEA","Consulting Partner",,"Work.com","Manufacturing","501-1000","EMEA",,"Small"
S5RVWB02,JX2NYT1JD0VQ6QK,"Add-On Business","AE",,"(05) $150K - $250K","Salesforce AE","N",,,,"Work.com",,"Public Sector","501-1000","EMEA","Enterprise Customer","Medium"
WONSU0DL0X0G,NKYH70EHTPHK00ZYJE5IX45VNF6FZ5E6IRHN3YMSV4NW2CUNGDYG2J4QXUHUQLFQKACQPKOTCPZ82IKRQ3BDTEYG0VAXEJQM157TKB9ZQW89O5HK3S,"New Business","Alliances (Mktg Infl)",278,"(01) <=$25K","Other","N","Sourced Lead","APAC","Consulting Partner",,"Work.com","Professional Services","1-20",,,
YQDHMW9TUXCVKDF,DMBHNFZCZUFKOKPICNWCVAUIVBM5W62PKHD,"New Business","AE",,"(06) $250K - $500K","Cold Call","N","Joint Sales","AMER","Consulting Partner;GPA","Work.com",,"Manufacturing","10001+ ","AMER","Enterprise Customer","Medium"
VP10YR,A0KQHBQ5KTGPP17OEHRK4C3T43HG516T71E15X4JJSG0LHJIR9IKBY9CZ5XOSVDA6RF5FJSAV5VG29BARL7KBJAOK6BA6VWFS26NNHY5JNP29T4PLF7AYZ3,"Add-On Business","AE",,"(03) $50K - $100K","AE Generated - Create Account","N","Joint Sales","EMEA","Consulting Partner","Work.com",,"Manufacturing","501-1000","EMEA","Enterprise Customer","Medium"
T92R,8DKBTLPM9TBLYBOYJ9MZ3KSEZJ0Z1UEFO3ROOLPRA7KWHCG5FHT72YYVPF4DFVMNLSZ8WHM8AF2H7ISG1UIN1H51R0PVL9FM,"New Business","AE",,"(07) $500K - $1M","Cold Call","N","Internal Use License","AMER","Consulting Partner;GPA","Work.com",,"Professional Services","10001+ ","AMER","Enterprise Customer","Large"
E3V,QRJWZW0H1X,"Add-On Business","AE",1678,"(03) $50K - $100K","Trade Show / Events","N",,,,"Work.com","Work.com","High Tech","1-20","AMER","Performance Edition","Small"
9,LB3RS,"Add-On Business","AE",,"(01) <=$25K",,"N",,,,"Work.com",,"Financial Services","2501-5000","AMER",,"Very Small"
GVY,XHQYCWRUFKH1BENSG2LZ218BLKZV0LV9ET8S99OWB56R8GO9SBA7WE1MQY103YZ6GKX176,"Add-On Business","BDR",,"(06) $250K - $500K",,"N","No Partner","AMER",,"Work.com",,"Manufacturing","10001+ ","AMER","Unlimited Customer","Top"
M5BG7KFKT,43IXW7XKBERF0JGZ550A,"New Business","EBR",22,"(02) $25K - $50K","EBR Generated","N",,,,"Work.com",,"Manufacturing","501-1000","AMER",,"N/A"
SHABED26KJO,ON76ZB86T9Y9C2PV497TFLO1SWBPFC5TLLD3WI3QQ5SYL,"New Business","AE",185,"(01) <=$25K","Sales Generated","N",,,,"Work.com","Work.com","Healthcare & Life Sciences","10001+ ","AMER","Unlimited Customer","Top"
W,6M6LK0ZXIIK0SODQMM6FGCPQ0M3LQ05WXBWK,"New Business","AE",637,"(01) <=$25K","Salesforce AE","N",,,,"Work.com","Work.com","Professional Services","201-500","AMER","Unlimited Customer","Large"
8RU,7CJ8C7ETLXD8RDGUN63774KYU1RRVATVXL1RZOQ3L,"New Business","BDR",24,"(04) $100K - $150K","LinkedIn","N",,,,"Work.com",,"Communications & Media","10001+ ","EMEA","Unlimited Customer","Very Small"
PSGUKE9V,RQYQIHPFKK1N0K3GZIFZVUJ3QCODFZDY6SPK4C6CBGBFKGQUBAGCXW1TGJCLOZ300C5OIT8CXYYRTXOG,"Add-On Business","AE",428,"(02) $25K - $50K","CFL","N","Sourced Lead","AMER","Consulting Partner;Content Syndication;SI","Work.com",,"Manufacturing","10001+ ","AMER","Unlimited Customer","Medium"
1B8I,O9CMM9139PJFDPXWMNWQX4DWR98HR0BIBEAHH5MO6R87G968JBRWM1Q2ZR9IJ1IH43CRZURIG1UFN1ZEJUXD6K33GWK,"New Business","BDR",,"(01) <=$25K","EBR Generated","N",,,,"Work.com",,"Public Sector","1001-1500","EMEA",,
MASNIILHFQL1,GT364DAFQIGAC3EVQK9RCB1FJ,"New Business","BDR (Mktg Infl)",49,"(06) $250K - $500K","EBR Generated","N",,,,"Work.com",,"Healthcare & Life Sciences","10001+ ","AMER","Unlimited Customer","Top"
B76OAR0SLYKSZ3,JI3OZ9ARYTB4ERS2TYJBCRAX07KN23W2KJYRZDBCYNQFJV5RUK2TSWT,"Add-On Business","AE",276,"(01) <=$25K","AE Generated - Create Account","Y",,,,"Work.com",,"High Tech","10001+ ","AMER","Unlimited Customer","Top"
YJDT,SJLLD5Q2MO1FQK1NMK70V7OUJUZJJ45EY256RX33M1X4YXYK7L5ZVFLOJKYGVJ11T9X7X06ZRX3,"Add-On Business","AE",,"(02) $25K - $50K","CFL","N","Sourced Lead","AMER","Consulting Partner;Content Syndication;SI","Work.com",,"Manufacturing","10001+ ","AMER","Unlimited Customer","Medium"
URN,2XVI3O1Y7Y9A8VHLYIGASES5ZGI46D25S3JNRDPMVMPEZTZ2GBMTO5XHWNECGMW5G27A3AP0TREHZF83Y39WM1PPVX9TAZJCJRR2N2JLRKMYHQ0K9PXZ,"New Business","Alliances",104,"(01) <=$25K","Partner Referral","N","Sourced Lead","APAC",,,"Work.com","Healthcare & Life Sciences","46-200","APAC",,
4,6PGYKYMNGUT0D4S33SVAF1UF8ST01ICV2JZ7308QNOLQ1RZ04J1LRWOS8L937L1S3NSBUJ00A5MFV5GHD,"Add-On Business","AE",,"(04) $100K - $150K","Salesforce AE","N","Joint Sales","APAC","Consulting Partner","Work.com",,"Healthcare & Life Sciences","5001-10000","AMER",,"Medium"
8J2CWIVELNJ0IL,3N75YMQDQVBH8BONI5VIN5MJCLVSXPY6UYIAB5NG81SAQ9Y78LLC4PM79EHUMGO2ETYM1SMRKHE29EI4QEDFQX839EOJ0NOS4RVNGR5CGBEXUPMQ,"Add-On Business","AE",262,"(05) $150K - $250K","AE Generated - Create Account","N",,,,"Work.com","Work.com","Financial Services","1-20","EMEA","Unlimited Customer","Flagship"
9U4XG372698,6U1HG2L9GIVGZ8ZQ0186366XC3Z2A8Q2WXBXJO5PKGFK80UEN3AW44HY4TPSWNF39BY6,"Add-On Business","AE",595,"(06) $250K - $500K","Salesforce AE","N",,,,"Work.com",,"Public Sector","10001+ ","AMER","Group Customer","Flagship"
MTB0F6,SC3FO7CEXGZDZ8BZ4O7CW7MFKMMVC29R4DEYWNNOZ0MRKOPFQYH0KQVHSQIR,"Add-On Business","Cloud Sales",120,"(01) <=$25K","Sales Generated","N",,,,"Work.com",,"Communications & Media","501-1000","AMER","Unlimited Customer","N/A"
VNXIF4YP,DSZXCQ6Y48JP2GUDIGAH80DS5UNUHT6K7P7W6HSBUZFD10A98PERLLJJMOBML6FWW7KQ5BM2CSZINSEIR0KFLO53WFBE30QR8FNFC3MFXER3R7USBMO85YXB,"New Business","EBR (Mktg Infl)",33,"(02) $25K - $50K","AE Generated - Create Account","N",,,,"Work.com",,"Healthcare & Life Sciences","1-20","AMER",,"N/A"
BPAC979563,PGOMXMPGQ0CCR16NHWJYLI43KJER3R1MSZIJH4GPNDOO6MP9GA887C24PCEDJJ5ZQL6903IZJCHQDVVRFPGHV9756FAMTIKH9LA2UL17YM8B2NUGW4YS2S6T,"Add-On Business","AE",,"(02) $25K - $50K","Sales Generated","N",,,,"Work.com",,"Manufacturing","10001+ ","AMER","Unlimited Customer","Large"
HVJUUU748F18O6,PR6UX2C9BDV17KA6P3GMH9609,"Add-On Business","Cloud Sales",,"(03) $50K - $100K","Solution Specialist","N",,,,"Work.com",,"High Tech","1501-2500","AMER","Unlimited Customer","Top"
0PMDC2,BGQ7MXO5K3U7UZXH14AWYG76KY3LJS85ZTWUI18HG8WYTPKS8IWYBO6O0V2PLM9VSKILXPO2DKY99LYQEEDWAOUQZFYF,"Add-On Business","BDR",,"(02) $25K - $50K",,"N",,,,"Work.com",,"Financial Services","201-500","AMER","Enterprise Customer","Medium"
7MN9TRPTUVF,ELONW,"New Business","AE",52,"(01) <=$25K","CFL","N",,,,"Work.com",,"High Tech","10001+ ","EMEA","Performance Edition","Top"
G8SZAVK800Q,BJJIKE3OK9L4YJ9R2HCAFJZUDGED0QRX2G6N6B2BI24242466TCDXYXW5UP3LCLV8CZOSM3YQGGKEC7BE,"Add-On Business","AE",,"(01) <=$25K",,"N",,,,"Work.com",,"Retail & CG","46-200","EMEA",,"Large"
